vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,authorized_from,authorized_to,source_code
AUS-191901|CCSBT-FV01286|IMO-8565355|IOTC-8593|WCPFC-5059,503555500,FISCO1,VHN9944,8565355,AUS,2012-05-11 00:00:00 UTC,2014-11-30 00:00:00 UTC,CCSBT
AUS-191901|CCSBT-FV01286|IMO-8565355|IOTC-8593|WCPFC-5059,503555500,FISCO1,VHN9944,8565355,AUS,2015-05-18 00:00:00 UTC,2015-11-30 00:00:00 UTC,CCSBT
AUS-191901|CCSBT-FV01286|IMO-8565355|IOTC-8593|WCPFC-5059,503555500,FISCO1,VHN9944,8565355,AUS,2016-04-27 00:00:00 UTC,2017-11-30 00:00:00 UTC,CCSBT
AUS-191901|CCSBT-FV01286|IMO-8565355|IOTC-8593|WCPFC-5059,503555500,FISCO1,VHN9944,8565355,AUS,2018-05-03 00:00:00 UTC,2018-11-30 00:00:00 UTC,CCSBT
AUS-191901|CCSBT-FV01286|IMO-8565355|IOTC-8593|WCPFC-5059,503555500,FISCO1,VHN9944,8565355,AUS,2019-03-20 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
AUS-191901|CCSBT-FV01286|IMO-8565355|IOTC-8593|WCPFC-5059,503555500,FISCO1,VHN9944,8565355,AUS,2012-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
AUS-191901|CCSBT-FV01286|IMO-8565355|IOTC-8593|WCPFC-5059,503555500,FISCO1,VHN9944,8565355,AUS,2012-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,WCPFC
AUS-301828|IMO-5314987|AUS-A182,503316000,SAXONONWARD,VJT5748,5314987,AUS,2016-10-18 00:00:00 UTC,2022-07-01 00:00:00 UTC,SIOFA
AUS-301828|IMO-5314987|AUS-A182,503316000,SAXONONWARD,VJT5748,5314987,AUS,2017-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,SPRFMO
AUS-355463|CCSBT-FV01440|IMO-7328970|IOTC-24|WCPFC-5137,503039080,MARIALUISA,VMML,7328970,AUS,2014-12-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
AUS-355463|CCSBT-FV01440|IMO-7328970|IOTC-24|WCPFC-5137,503039080,MARIALUISA,VMML,7328970,AUS,2012-01-01 00:00:00 UTC,2012-06-30 00:00:00 UTC,IOTC
AUS-355463|CCSBT-FV01440|IMO-7328970|IOTC-24|WCPFC-5137,503039080,MARIALUISA,VMML,7328970,AUS,2012-12-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
AUS-355463|CCSBT-FV01440|IMO-7328970|IOTC-24|WCPFC-5137,503039080,MARIALUISA,VMML,7328970,AUS,2014-06-29 23:39:42 UTC,2022-07-01 00:00:00 UTC,WCPFC
AUS-374509|CCSBT-FV01355|IMO-8779712,503034780,SOUTHERNCONDOR,VM7780,8779712,AUS,2016-12-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
AUS-374777|IMO-7817581|AUS-SB3,503013330,PETUNAENDEAVOUR,VM4869,7817581,AUS,2016-10-18 00:00:00 UTC,2022-07-01 00:00:00 UTC,SIOFA
AUS-374777|IMO-7817581|AUS-SB3,503013330,PETUNAENDEAVOUR,VM4869,7817581,AUS,2017-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,SPRFMO
AUS-375048|CCSBT-FV04806|IMO-8784872|IOTC-8528|WCPFC-5086,503798700,SCORPION,VMQ4146,8784872,AUS,2015-08-14 00:00:00 UTC,2015-11-30 00:00:00 UTC,CCSBT
AUS-375048|CCSBT-FV04806|IMO-8784872|IOTC-8528|WCPFC-5086,503798700,SCORPION,VMQ4146,8784872,AUS,2016-05-13 00:00:00 UTC,2016-11-30 00:00:00 UTC,CCSBT
AUS-375048|CCSBT-FV04806|IMO-8784872|IOTC-8528|WCPFC-5086,503798700,SCORPION,VMQ4146,8784872,AUS,2018-07-06 00:00:00 UTC,2018-11-30 00:00:00 UTC,CCSBT
AUS-375048|CCSBT-FV04806|IMO-8784872|IOTC-8528|WCPFC-5086,503798700,SCORPION,VMQ4146,8784872,AUS,2019-03-20 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
AUS-375048|CCSBT-FV04806|IMO-8784872|IOTC-8528|WCPFC-5086,503798700,SCORPION,VMQ4146,8784872,AUS,2012-01-01 00:00:00 UTC,2012-02-29 00:00:00 UTC,IOTC
AUS-375048|CCSBT-FV04806|IMO-8784872|IOTC-8528|WCPFC-5086,503798700,SCORPION,VMQ4146,8784872,AUS,2013-03-01 00:00:00 UTC,2014-02-28 00:00:00 UTC,IOTC
AUS-375048|CCSBT-FV04806|IMO-8784872|IOTC-8528|WCPFC-5086,503798700,SCORPION,VMQ4146,8784872,AUS,2016-02-29 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
AUS-375048|CCSBT-FV04806|IMO-8784872|IOTC-8528|WCPFC-5086,503798700,SCORPION,VMQ4146,8784872,AUS,2012-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,WCPFC
AUS-375185|CCSBT-FV04371|IMO-8774906,503035030,MICHELLE,VHS2473,8774906,AUS,2016-02-05 00:00:00 UTC,2017-11-30 00:00:00 UTC,CCSBT
AUS-385625|CCSBT-FV01469|IMO-8003618|IOTC-12|WCPFC-11095,503031020,OCEANDYNASTY,VHS6354,8003618,AUS,2014-12-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
AUS-385625|CCSBT-FV01469|IMO-8003618|IOTC-12|WCPFC-11095,503031020,OCEANDYNASTY,VHS6354,8003618,AUS,2012-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
AUS-385625|CCSBT-FV01469|IMO-8003618|IOTC-12|WCPFC-11095,503031020,OCEANDYNASTY,VHS6354,8003618,AUS,2014-06-30 01:59:11 UTC,2022-07-01 00:00:00 UTC,WCPFC
